season,name,team,pos,games,minutes,points,rebounds,assists,steals,blocks,turnovers
2022-23,Jordan Goodwin,WAS,PG,62,1106,407,205,168,58,26,57
2022-23,Isaiah Hartenstein,NYK,C,82,1626,406,536,102,53,64,66
2022-23,Andre Drummond,CHI,C,67,849,399,444,33,45,27,75
2022-23,Oshae Brissett,IND,PF,65,1083,398,218,44,33,13,34
2022-23,Gary Harris,ORL,SG,48,1184,397,98,59,45,12,28
2022-23,Jalen Johnson,ATL,SF,70,1042,395,282,83,38,34,41
2022-23,Mark Williams,CHO,C,43,828,387,304,18,28,45,40
2022-23,Cam Reddish,NYK,SF,40,990,387,88,57,39,14,47
2022-23,John Wall,LAC,PG,34,755,386,92,178,27,12,80
2022-23,Mike Muscala,OKC,C,63,945,383,203,50,15,24,23
2022-23,Will Barton,WAS,SG,56,993,379,137,112,28,13,48
2022-23,Edmond Sumner,BRK,SG,53,736,378,79,68,31,10,50
2022-23,Alex Caruso,CHI,PG,67,1575,374,196,193,98,46,77
2022-23,Josh Christopher,HOU,SG,64,786,372,71,73,33,15,60
2022-23,Wenyen Gabriel,LAL,C,68,1024,372,286,36,26,35,46
2022-23,Delon Wright,WAS,PG,50,1221,369,180,194,92,17,44
2022-23,JaMychal Green,GSW,PF,57,797,366,205,51,25,23,52
2022-23,Goran Dragić,CHI,PG,58,870,365,81,151,13,4,63
2022-23,John Konchar,MEM,SF,72,1494,364,310,100,77,25,37
2022-23,Nickeil Alexander-Walker,UTA,SG,59,884,363,101,108,32,21,55
2022-23,Chris Duarte,IND,SF,46,897,362,115,64,25,9,41
2022-23,Dario Šarić,PHO,C,57,806,362,207,74,20,7,55
2022-23,Steven Adams,MEM,C,42,1133,361,485,97,36,46,79
2022-23,Christian Braun,DEN,SG,76,1181,360,181,59,41,17,35
2022-23,Nassir Little,POR,SF,54,976,359,141,50,20,20,36
2022-23,Isaiah Livers,DET,PF,52,1199,346,143,41,28,28,30
2022-23,Landry Shamet,PHO,SG,40,807,346,67,93,26,5,36
2022-23,Simone Fontecchio,UTA,SF,52,766,328,86,42,15,8,39
2022-23,Lamar Stevens,CLE,SF,62,1120,328,207,33,27,19,27
2022-23,Mo Bamba,ORL,C,49,769,323,225,46,13,43,30
2022-23,Yuta Watanabe,BRK,SF,58,928,322,141,48,25,17,22
2022-23,Chimezie Metu,SAC,PF,66,689,321,198,40,22,21,32
2022-23,Montrezl Harrell,PHI,C,57,681,320,159,33,17,25,35
2022-23,Derrick Jones Jr.,CHI,PF,64,893,319,153,34,29,37,25
2022-23,Joe Ingles,MIL,SF,46,1044,317,128,150,33,6,55
2022-23,T.J. Warren,BRK,PF,42,687,314,121,40,22,12,20
2022-23,Ty Jerome,GSW,SG,45,816,309,78,135,23,5,30
2022-23,Moses Moody,GSW,SG,63,817,302,105,51,18,7,34
2022-23,R.J. Hampton,ORL,SG,47,750,302,87,54,27,9,42
2022-23,Vlatko Čančar,DEN,PF,60,889,297,128,80,22,14,37
2022-23,Romeo Langford,SAS,SG,43,844,297,114,50,24,13,30
2022-23,Théo Maledon,CHO,PG,44,854,295,123,152,37,12,59
2022-23,Rudy Gay,UTA,PF,56,816,293,163,57,19,18,37
2022-23,Matisse Thybulle,PHI,SG,71,1200,293,140,53,83,32,24
2022-23,Jeremiah Robinson-Earl,OKC,PF,43,814,292,180,43,24,11,19
2022-23,Ben Simmons,BRK,PG,42,1105,291,263,256,54,24,97
2022-23,Kris Dunn,UTA,PG,22,568,290,100,124,25,10,35
2022-23,Robert Covington,LAC,PF,48,779,288,166,57,38,33,32
2022-23,Jaylin Williams,OKC,C,49,914,288,241,76,28,12,37
2022-23,Paul Reed,PHI,C,69,755,287,262,27,46,51,45
2022-23,Jae'Sean Tate,HOU,SF,31,677,283,118,84,21,7,47
2022-23,Robert Williams,BOS,C,35,824,279,292,50,22,48,34
2022-23,Eugene Omoruyi,OKC,SF,40,645,278,111,28,28,3,34
2022-23,Zeke Nnaji,DEN,PF,53,728,277,138,18,17,23,31
2022-23,Aleksej Pokusevski,OKC,PF,34,701,276,159,64,20,43,43
2022-23,Payton Pritchard,BOS,PG,48,643,270,88,64,14,1,40
2022-23,Danuel House Jr.,PHI,SF,56,807,268,94,44,14,9,26
2022-23,Duncan Robinson,MIA,SF,42,691,268,69,46,14,0,28
2022-23,MarJon Beauchamp,MIL,SF,52,701,266,115,35,21,7,45
2022-23,P.J. Tucker,PHI,PF,75,1920,266,295,60,39,15,44
2022-23,Bismack Biyombo,PHO,C,61,874,263,260,56,18,88,51
2022-23,Sandro Mamukelashvili,MIL,C,43,660,263,185,62,14,12,35
2022-23,Willy Hernangómez,NOP,C,38,458,262,180,33,17,13,39
2022-23,JT Thor,CHO,PF,69,969,262,152,36,22,23,44
2022-23,Luke Kornet,BOS,C,69,804,261,197,53,11,46,25
2022-23,Garrison Mathews,HOU,SG,54,686,257,73,26,24,5,19
2022-23,Austin Rivers,MIN,SG,52,1016,255,83,75,28,4,23
2022-23,Ish Wainright,PHO,SF,60,915,251,139,53,38,22,22
2022-23,Aaron Holiday,ATL,PG,63,845,247,74,89,37,12,36
2022-23,Malachi Flynn,TOR,PG,53,691,246,76,70,21,4,25
